Name,Purchase Quantity,Required Pcs,Link,Unit Price,Total Price
USB-C Receptacle,5,,https://www.digikey.com/en/products/detail/wec/2340901-1/18856002,$0.42,$2.10
RT9193,5,,https://www.digikey.com/en/products/detail/richtek-usa-inc/RT9193-33GB/2470048,$0.41,$2.05
5x1 Screw Terminal,11,,https://www.digikey.com/en/products/detail/phoenix-contact/1935190/568617,$1.28,$14.08
B4B-XH-A,4,,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B4B-XH-A/1651047,$0.17,$0.68
100pcs M4x6x6 Heat Threaded Inserts ,3,279,https://www.amazon.com/Aoserge-100Pcs-Brass-Heat-Inserts/dp/B0FM3XZZ56/ref=sr_1_3?adgrpid=187992247084&dib=eyJ2IjoiMSJ9.qGHkJxP-MEJtC5Em0j7LhbEiA0K4JyvEfLLWEZa3F42soMHTI7SwsasoUTTHf0NVdvBxPtq8jVL7TwOcCnZqLNUxEbATrH-GNNwMEjuf5L0ZmbWpV09tA0OQ_zzWlvL2xf6z-MKfMQeTCfWXRsOGFtMLeGYtDXN_ksnFEP57QjHbYq4aa0_pxJVKPVwQobHL11pTxpY3UDDeRGeiPVAV7OOSsBbIAgZuAJ-co0XrZ5g.p3yV6WB_MNb4u3d7BhXC0ClNh_PwKR-gjDRJYTLxr4M&dib_tag=se&hvadid=779572301413&hvdev=c&hvexpln=0&hvlocphy=1023818&hvnetw=g&hvocijid=14450067180367655041--&hvqmt=e&hvrand=14450067180367655041&hvtargid=kwd-2384892900142&hydadcr=5098_13195396_2112287&keywords=m4x6x6%2Bheat%2Binsert&mcid=c298dd98fdf33c3fbe48210de6a95961&qid=1780719131&sr=8-3&th=1,$6.49,$19.47
10pcs 6805-2RS,3,24,https://www.amazon.com/6805-2RS-Bearings-Miniature-Section-Bearing/dp/B0DS59TSHD/ref=sr_1_18_sspa?crid=VR06SJQYR2JC&dib=eyJ2IjoiMSJ9.rnWYudWOjowvk8H39c3H6on5ADSU4r5ag7Q3-bkFX-AsX0XZvoKyfDsgeMzNF6-OltBhC0h2YKoi-2QbcBBEHwv7orE9n4r27ha4Z2EXe9AIuuF7ggOjpNYWIbkOrZWD6FrCk6kVxomrrvu2yhkcyzpN9mFVvP21EOXBcOqRkie_rkHpzYrPmkcCQVdmZwdhZqZOZ6AV4fluExGKARlFa8fOat8s84DGZx_3WRUjMDw.YUsFR7skP4ZDnj4vYpuixG87Wo8z4liAQbkIm0bVhd4&dib_tag=se&keywords=deep%2Bgrove%2Bball%2Bbearing&qid=1779809237&sprefix=deep%2Bgrov%2Caps%2C183&sr=8-18-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&th=1,$12.49,$37.47
10pcs 6907ZZ Deep Groove Ball Bearings,2,16,https://www.amazon.com/HiPicco-6907ZZ-Bearings-Shielded-Pre-Lubricated/dp/B0CRLF5NZY/ref=sr_1_1?crid=XNBX0AYNJL06&dib=eyJ2IjoiMSJ9.yhyt-IbgkKCKxH3Nm0QHmXkkeLHsyIodMQAAvKLdMBU5jq17kN0F184EWS47dPA_F4yxlMi5u4F-eSG-S7kH8-TjPyNZAQa7AboLVGLKHl5smn2bG-sN9kZPRtzRgG_bCXLw7iFn5JZOMb7lAm_S0OBwbnSX8VgmxyvXml5uZkkHpvGR4-B1LneME1rjL1p_e67E3mwZYNmucSy1ycFH6eC-B5LE2ydCbng39JK9z-18AXDEbfFPtuYc9QAvPqFLK698gKTcOYUh5XkNhXJ0sPReW7-surrbW7lSfgDwc_0._UeONJUagizM30mQkIDO9yUhiKd59WI5ojcC9XAvXlw&dib_tag=se&keywords=6907ZZ&qid=1779908382&s=industrial&sprefix=6907zz%2Cindustrial%2C119&sr=1-1&th=1,$21.89,$43.78
6020-2RS,6,6,https://www.amazon.com/80x125x22mm-Pre-Lubricated-Performance-Effective-Bearings/dp/B0CGLRM1JS/ref=sr_1_3?dib=eyJ2IjoiMSJ9.u0uGbwI19ofkaUqBz7LBF5PeUWMU9xi1XdzEP0A24fBLn0uBnc_IW9B8YixuD1e8G99_-z1rMj1-8vYdCZh6BTDsD_c-tUwzWx0Ojlaa93RN5-MHYaZnVBGBC0UlTNHqm1KNFldIJIgRrdxiY3kJr--4PGM_k1GYq6NDdzsK3LMNHc_5SAn6P5-RCZx5Izh-CdisrHVnqsbT4_8CWpB9_1T9BnCuKmvM4u9oagXram4.aroZsEOauoBH1wYKrFfTl-5eh565znB2HzZ_llG2iKA&dib_tag=se&hvadid=694152331669&hvdev=c&hvexpln=67&hvlocphy=9015632&hvnetw=g&hvocijid=14103388718356912930--&hvqmt=e&hvrand=14103388718356912930&hvtargid=kwd-297993489345&hydadcr=3701_13539182&keywords=6016%2Bbearing&mcid=e25471349f1b3e49a196833d112958dc&qid=1779996520&sr=8-3&th=1,$19.99,$119.94
Total Electrical Parts Price,,,,,$132.99
Total Mechanical Parts Price,,,,,$220.66
Total Price,,,,,$353.65
